Identifier,Monthly Reporting Period,Channel,Seller Name,Servicer Name,Master Servicer,Original Interest Rate,Current Interest Rate,Spread,Original UPB,UPB at Issuance,Current Actual UPB,Original Loan Term,Origination Date,First Payment Date,Loan Age,Remaining Months to Legal Maturity,Remaining Months To Maturity,Maturity Date,Original LTV,Oringal CLTV,Number of Borrowers,Debt-To-Income,Borrower Credit Score at Origination,Co-Borrower Credit Score at Origination,First Time Home Buyer Indicator,Loan Purpose,Property Type,Number of Units,Occupancy Status,Property State,MSA_code,Zip Code Short,Mortgage Insurance Percentage,Amortization Type,Prepayment Penalty Indicator,Interest Only Loan Indicator,Interest Only First Principal And Interest Payment Date,Months to Amortization,Current Loan Delinquency Status,Loan Payment History,Modification Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100023000000,22013,R,Other,Other,,5.375,5.375,0,55000,,49224.29,240,82009,102009,41,199,199,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,32013,R,Other,Other,,5.375,5.375,0,55000,,49069.78,240,82009,102009,42,198,198,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,42013,R,Other,Other,,5.375,5.375,0,55000,,48914.57,240,82009,102009,43,197,197,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,52013,R,Other,Other,,5.375,5.375,0,55000,,48758.66,240,82009,102009,44,196,196,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,62013,R,Other,Other,,5.375,5.375,0,55000,,48602.06,240,82009,102009,45,195,195,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,72013,R,Other,Other,,5.375,5.375,0,55000,,48444.76,240,82009,102009,46,194,194,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,82013,R,Other,Other,,5.375,5.375,0,55000,,48128.04,240,82009,102009,47,193,192,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,92013,R,Other,Other,,5.375,5.375,0,55000,,48128.04,240,82009,102009,48,192,192,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,102013,R,Other,Other,,5.375,5.375,0,55000,,47968.61,240,82009,102009,49,191,191,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,112013,R,Other,Other,,5.375,5.375,0,55000,,47647.61,240,82009,102009,50,190,189,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,122013,R,Other,Other,,5.375,5.375,0,55000,,47486.03,240,82009,102009,51,189,188,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,12014,R,Other,Other,,5.375,5.375,0,55000,,47323.73,240,82009,102009,52,188,187,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,22014,R,Other,Other,,5.375,5.375,0,55000,,47323.73,240,82009,102009,53,187,187,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
